x1,x2,x3,x4,y
40.2,32.83,72.3,59.42,355.7727697
57.94,38.54,96.59,30.06,321.8676612
51.35,46.32,98.38,19.55,285.274252
29.28,44.59,74.1,40.01,342.1957667
39.3,44.73,84.4,44.24,339.9123277
27.4,57.12,84.27,38.66,309.9977626
33.57,50.43,84.74,45.47,325.1197102
23.74,34.65,58.3,32.14,210.7293698
20,14.06,33.92,16.62,150.0223158
35.5,10.79,45.8,13.08,151.8737616
43.05,49.34,92.19,14.47,237.1179917
42.02,17.18,58.4,49.91,273.2102057
36.17,50.13,86.89,26.14,265.5997121
45.66,58.44,104.23,57.74,415.165225
53.76,54.11,106.91,45.55,419.5051611
43.37,43.99,87.4,46.75,338.6492189
31.11,24.69,56.23,41.18,301.830431
53.46,36.9,89.57,60,364.8055632
54.35,20.43,74.09,44.05,306.0692859
12.06,42.84,55.3,32.03,264.5297246
38.32,47.47,85.98,52.74,369.0748584
36.48,51.66,88.62,24.16,328.3679672
57.88,42.44,100.19,50.59,428.1797744
54.37,36.53,90.67,50.17,427.795679
53.9,17.18,71.7,37.77,268.6428028
28.13,13.03,40.64,58.24,298.1034859
36.8,24.14,60.23,17.75,207.4324907
42.89,44.81,87.88,22.47,263.6521691
17.52,32.04,48.76,35.41,225.5334081
56.73,30.04,85.79,53.95,342.1211558
24.39,32.25,56.8,51.18,293.2941914
31.27,59.32,91.48,29.76,334.3148536
52.45,41.71,94.65,56.29,406.8957158
56.86,13.44,70.94,16.77,213.4279574
34.34,52.22,87.3,56.05,410.0286596
42.32,49.16,91.07,28.01,285.7280924
48.82,56.97,106.74,32.18,388.7395418
48.96,17.65,66,20.26,210.3869797
19.1,16.7,36.25,51.82,228.3805824
46.7,32.6,78.77,54.3,343.1855527
14.34,17.09,31.01,27.76,157.483358
23.48,23.09,45.69,27.56,165.6383284
28.13,39.68,68.79,20.16,243.8047031
54.8,33.99,89.38,48.51,370.0481991
58.13,26.12,83.68,50.05,345.1409753
19.89,50.25,71.11,28.88,260.9718352
40.98,51.38,93.24,25.88,277.661491
12.45,38.25,50.78,26.13,208.641965
46.13,48.72,95.38,12.57,259.577237
41.22,33.77,74.86,47.96,375.3025157
35.02,22.35,57.33,24.74,174.9336401
43.36,46.31,89.38,10.41,264.4804271
22.34,48.14,69.66,53.91,340.6200649
13.96,54.22,68.12,49.25,305.3045654
48.91,32.41,82.25,21.77,242.8472592
10.63,33.89,44.16,54.63,262.6087937
12.32,57.31,68.86,42.1,336.9070908
46.69,33.85,80.26,16.55,241.448456
32.13,40.37,72.46,19.96,268.0211199
53.16,10.36,63.85,25.11,225.2790238
24.13,39.36,63.38,11.35,184.865499
31.71,19.69,51.15,48.39,262.7731241
49.59,47.3,97.07,14.38,272.8922219
34.2,34.79,68.81,25.29,258.6056551
44.2,45.94,90.43,48.49,376.3504899
39.64,28.29,68.92,50.27,310.8104568
56.42,37.13,94.51,26.8,321.0348364
28.05,50.35,77.59,11.96,256.0358034
10.56,31.44,42.89,17.13,171.6177266
14.8,59.22,74.2,11.46,263.1776455
26.2,35.59,60.96,28.04,260.5572729
54.01,49.88,102.95,33.78,368.0862894
36.37,42.54,79.14,56.97,359.8454387
31.05,44.49,76.53,54.17,352.0782171
22.29,12.72,34.58,49.53,237.9316799
12.74,29.18,42.61,37.78,205.8613158
49.9,11.3,62.05,23.61,191.1143327
33.37,14.73,47.63,28.43,185.9347762
50.76,44.03,95.27,34.73,332.4784127
19.6,40.31,60.74,30.13,254.6983787
27.9,37.08,65.59,46.8,331.6067793
59.36,21.08,81.44,52.22,311.6787735
36.29,39.22,75.25,34.72,304.0437767
37.73,54.77,92.21,51.43,386.3298122
46.71,49.32,95.46,20.38,290.8251015
50.95,14.55,66.3,46.74,282.4329018
50.49,57.07,107.04,15.09,320.9898162
28.76,11.05,39.41,55.63,255.0526734
22.25,32.23,54.88,36.82,268.1508559
34.57,43.42,77.38,34.53,296.0187007
48.44,31.6,79.37,42.19,347.7893543
36.88,52.19,89.19,55.57,366.0058022
31.19,25.08,55.4,49.41,306.8635549
31.59,15.44,47.12,30.24,198.5710239
40.77,52.42,93.39,19.26,323.3900978
45.86,12.72,58.59,29.95,193.0868939
54.03,17.61,71.63,41.42,283.285839
27.12,55.84,82.44,42.93,335.9432072
45.88,30.09,75.03,40.85,304.9821622
26.7,18.44,45.51,16.53,155.8188271
45.36,33.92,79.77,57.21,389.9857509
10.73,15.26,26.83,25.31,150.3429985
55.1,59.35,114.27,14.86,357.712939
44.44,26.06,70.48,57.8,351.3611783
56.63,45.99,101.8,54.54,406.135363
50.68,16.01,66.4,42.9,266.6133288
55.67,35.34,90.65,13.72,258.9810831
28.43,12.59,40.12,15.71,99.16617154
40.3,14.06,54.21,18.1,160.8878953
58.43,36.81,95.65,37.07,343.6425353
27.84,27.72,56.26,15.04,221.7463823
17.01,40.9,58.28,14.44,218.6569485
44.11,50.02,94.67,19.67,272.6193921
32.37,39.65,72.74,44.71,303.6199006
11.57,25.34,36.64,21.74,133.4311575
15.39,19.94,34.62,23.44,159.7586252
47.07,33.37,80.25,48.21,310.9431242
11.44,20.61,31.13,54.62,264.1964597
53.09,17.1,70.48,32.93,222.3523708
52.2,38.08,91.12,27.04,291.3188217
15.31,27.71,42.93,57.78,311.0872734
23.79,23.13,47.47,59.98,327.5659807
